Comuna;% nunca;% profe;aep1;aep2;edad_5_14;edad_15_64;edad_65_mas
La Granja;2.94;20.98;9.7;11.2;2.316;1.061;989.0
La Pintana;3.68;13.33;8.8;10.4;4.519;2.362;1.894
La Reina;1.5;58.29;12.8;15.0;1.647;338.0;221.0
Las Condes;0.02;66.28;13.7;15.7;4.072;538.0;342.0
Lo Barnechea;2.0;51.43;12.1;14.7;1.996;391.0;300.0
Lo Espejo;3.32;15.93;9.2;10.7;2.108;1.157;913.0
Lo Prado;2.73;23.14;10.0;11.4;1.762;794.0;757.0
Macul;2.0;46.15;11.8;13.5;1.983;550.0;516.0
Maipú;2.2;36.22;11.0;12.7;9.382;2.378;1.747
Ñuñoa;1.65;66.43;13.7;15.5;3.307;412.0;298.0
Pedro Aguirre Cerda;2.66;23.7;10.0;11.4;1.992;942.0;740.0
Peñalolén;2.34;33.38;10.7;12.4;4.493;1.892;1.714
Providencia;1.56;73.27;14.4;16.2;1.809;189.0;74.0
Pudahuel;2.88;27.42;10.2;11.9;4.912;1.748;1.568
Quilicura;2.83;29.56;10.4;12.3;4.432;1.24;687.0
Quinta Normal;2.81;30.11;10.6;12.4;2.794;648.0;487.0
Recoleta;2.84;26.49;10.2;11.8;3.109;1.19;960.0
Renca;2.91;20.72;9.5;11.2;3.325;1.372;1.092
San Joaquín;2.39;31.02;10.6;12.1;1.788;605.0;507.0
San Miguel;2.46;52.44;12.3;14.3;2.572;354.0;261.0
San Ramón;3.21;19.24;9.5;10.9;1.575;773.0;847.0
Vitacura;2.22;65.65;13.4;16.0;1.351;142.0;41.0
Puente Alto;2.6;30.84;10.4;12.3;12.357;3.95;2.734
Pirque;27.84;34.33;10.6;12.5;665.0;201.0;186.0
San José de Maipo;23.34;33.67;10.6;12.4;366.0;138.0;152.0
Colina;0.35;32.06;10.1;12.6;4.851;1.659;925.0
Lampa;4.38;28.01;9.8;12.2;4.223;1.337;752.0
Tiltil;32.27;24.99;9.7;11.5;570.0;199.0;219.0
San Bernardo;3.25;25.42;9.9;11.8;7.663;2.897;1.943
Buin;3.67;31.94;10.2;12.3;3.115;952.0;712.0
Calera de Tango;30.21;30.99;10.4;12.1;564.0;288.0;228.0
Paine;3.46;24.18;9.6;11.4;2.004;1.029;702.0
Melipilla;4.08;22.92;9.6;11.3;3.359;1.547;1.601
Alhué;54.97;19.07;9.2;10.9;200.0;74.0;165.0
Curacaví;3.07;27.91;10.0;11.7;807.0;390.0;334.0
María Pinto;34.98;20.5;9.3;10.8;359.0;217.0;233.0
San Pedro;55.37;13.38;8.6;10.0;244.0;116.0;230.0
Talagante;3.0;27.68;10.1;12.0;1.781;685.0;583.0
El Monte;3.4;20.65;9.4;11.1;1.046;481.0;450.0
Isla de Maipo;0.36;24.02;9.7;11.4;879.0;452.0;475.0
Padre Hurtado;3.74;29.68;10.1;12.3;2.181;553.0;558.0
Peñaflor;2.84;29.63;10.3;12.1;2.246;761.0;725.0
Rancagua;2.92;31.55;10.5;12.2;5.701;2.284;1.78
Codegua;31.39;21.61;9.3;10.8;320.0;204.0;185.0
Coinco;40.8;22.07;9.3;10.6;153.0;106.0;101.0
Coltauco;42.02;17.08;9.0;10.3;423.0;335.0;412.0
Doñihue;32.02;22.87;9.7;11.3;414.0;205.0;229.0
Graneros;3.41;24.02;9.7;11.5;890.0;402.0;368.0
Las Cabras;4.53;15.89;8.9;10.3;613.0;437.0;584.0
Machalí;2.73;42.02;11.0;13.4;1.508;367.0;326.0
Malloa;38.25;17.58;9.0;10.2;272.0;277.0;245.0
Mostazal;3.73;20.41;9.4;10.9;679.0;415.0;406.0
Olivar;34.53;25.21;9.7;11.2;287.0;184.0;174.0
Peumo;38.12;17.64;9.1;10.5;263.0;316.0;307.0
Pichidegua;42.38;15.48;8.7;9.9;370.0;375.0;540.0
Quinta de Tilcoco;37.32;19.8;9.1;10.5;286.0;266.0;283.0
Rengo;3.75;23.33;9.5;11.1;1.536;894.0;756.0
Requínoa;3.55;23.08;9.4;11.1;707.0;420.0;389.0
San Vicente;3.32;21.89;9.5;11.0;1.038;651.0;786.0
Pichilemu;40.06;29.84;10.1;11.8;463.0;221.0;313.0
La Estrella;36.02;18.42;9.1;10.3;110.0;52.0;95.0
Litueche;41.12;20.16;9.2;10.6;209.0;136.0;166.0
Marchihue;60.59;18.42;8.9;10.1;187.0;134.0;231.0
Navidad;35.45;24.19;9.5;10.9;222.0;129.0;198.0
Paredones;70.84;14.5;8.3;9.3;184.0;204.0;384.0
San Fernando;0.3;24.78;9.9;11.7;1.738;776.0;785.0
Chépica;53.48;16.71;8.7;9.8;317.0;323.0;474.0
Chimbarongo;3.81;17.12;8.9;10.3;727.0;705.0;714.0
Lolol;66.74;17.26;8.8;9.8;157.0;184.0;361.0
Nancagua;37.23;17.29;9.1;10.5;458.0;275.0;387.0
Palmilla;39.66;15.6;8.9;10.1;237.0;265.0;341.0
