Comuna;% nunca;% profe;aep1;aep2
Mostazal;3.73;20.41;9.4;10.9
Olivar;34.53;25.21;9.7;11.2
Peumo;38.12;17.64;9.1;10.5
Pichidegua;42.38;15.48;8.7;9.9
Quinta de Tilcoco;37.32;19.8;9.1;10.5
Rengo;3.75;23.33;9.5;11.1
Requínoa;3.55;23.08;9.4;11.1
San Vicente;3.32;21.89;9.5;11.0
Pichilemu;40.06;29.84;10.1;11.8
La Estrella;36.02;18.42;9.1;10.3
Litueche;41.12;20.16;9.2;10.6
Marchihue;60.59;18.42;8.9;10.1
Navidad;35.45;24.19;9.5;10.9
Paredones;70.84;14.5;8.3;9.3
San Fernando;0.3;24.78;9.9;11.7
Chépica;53.48;16.71;8.7;9.8
Chimbarongo;3.81;17.12;8.9;10.3
Lolol;66.74;17.26;8.8;9.8
Nancagua;37.23;17.29;9.1;10.5
Palmilla;39.66;15.6;8.9;10.1
Peralillo;41.54;19.36;9.2;10.5
Placilla;37.51;17.25;9.0;10.3
Pumanque;52.42;17.94;8.8;9.8
Santa Cruz;3.65;23.76;9.7;11.3
Talca;2.9;33.32;10.6;12.4
Constitución;3.81;18.86;9.2;10.8
Curepto;46.01;15.6;8.5;9.3
Empedrado;67.67;13.43;8.2;9.3
Maule;3.13;26.46;9.8;12.0
Pelarco;51.9;16.29;8.8;10.1
Pencahue;56.75;18.91;8.9;10.1
Río Claro;57.02;13.27;8.4;9.5
San Clemente;4.93;15.94;8.7;10.1
San Rafael;47.73;17.46;8.9;10.3
Cauquenes;4.42;20.38;9.1;10.5
Chanco;51.98;14.91;8.4;9.4
Pelluhue;46.75;22.38;9.3;10.7
Curicó;2.96;27.73;10.0;11.8
Hualañé;47.15;19.26;8.7;9.9
Licantén;32.65;21.53;9.4;10.6
Molina;3.75;18.74;9.2;10.6
Rauco;42.69;17.09;8.8;10.1
Romeral;42.65;19.65;9.0;10.4
Sagrada Familia;41.18;15.21;8.6;9.8
Teno;4.83;15.34;8.7;9.9
Vichuquén;37.11;20.76;9.2;10.3
Linares;2.84;25.39;9.8;11.4
Colbún;34.46;17.14;8.8;10.2
Longaví;4.94;13.08;8.3;9.5
Parral;0.43;20.66;9.1;10.6
Retiro;4.55;12.85;8.4;9.6
San Javier;4.06;19.29;9.0;10.6
Villa Alegre;33.76;17.36;8.8;10.2
Yerbas Buenas;46.52;13.71;8.4;9.6
Chillán;2.72;32.78;10.6;12.3
Bulnes;37.09;19.47;9.2;10.5
Chillán Viejo;29.28;25.0;9.9;11.6
El Carmen;47.7;15.06;8.6;9.7
Pemuco;46.47;15.1;8.7;9.9
Pinto;36.47;19.75;9.2;10.5
Quillón;40.23;19.14;9.1;10.3
San Ignacio;40.91;15.03;8.6;9.7
Yungay;33.46;19.49;9.3;10.6
Quirihue;38.99;20.21;9.0;10.2
Cobquecura;50.59;20.64;8.9;9.8
Coelemu;43.22;20.47;9.1;10.3
Ninhue;48.59;15.34;8.4;9.3
Portezuelo;39.78;16.14;8.4;9.3
Ránquil;39.03;17.58;8.8;9.9
Trehuaco;39.03;16.59;8.7;9.8
San Carlos;4.46;19.59;9.2;10.5
Coihueco;4.9;17.0;8.7;10.0
Ñiquén;49.54;12.1;8.3;9.2
San Fabián;70.73;21.09;9.1;10.5
San Nicolás;43.91;17.76;8.9;10.1
Concepción;2.03;46.76;11.9;13.5
Coronel;3.2;26.49;9.9;11.7
Chiguayante;0.23;38.17;11.1;12.8
Florida;45.07;22.56;9.2;10.4
Hualqui;3.9;22.53;9.4;10.9
Lota;3.13;21.7;9.4;10.8
Penco;2.81;27.97;10.1;11.7
San Pedro de La paz;2.78;39.51;10.9;13.1
Santa Juana;46.36;21.2;9.0;10.3
Talcahuano;2.62;35.64;10.8;12.5
Tomé;0.29;27.95;10.1;11.6
Hualpén;2.18;35.4;10.8;12.4
Lebu;38.54;19.37;9.0;10.4
Arauco;3.93;23.52;9.4;10.9
Cañete;5.14;19.58;8.8;10.3
Contulmo;54.87;18.32;8.7;9.9
Curanilahue;0.47;20.85;9.2;10.7
Los Álamos;4.72;17.01;8.7;10.2
Tirúa;66.52;16.0;8.2;9.5
Los Ángeles;3.57;27.08;9.9;11.7
Antuco;36.36;19.8;9.3;10.5
Cabrero;4.75;19.94;9.2;10.6
Laja;4.78;22.23;9.3;10.7
Mulchén;4.66;15.69;8.8;10.1
Nacimiento;4.76;22.12;9.3;10.8
Negrete;50.83;16.38;8.7;10.0
Quilaco;43.47;14.8;8.7;9.8
Quilleco;45.36;15.57;8.8;9.9
San Rosendo;31.05;23.13;9.6;10.8
Santa Bárbara;48.1;18.25;8.9;10.3
Tucapel;29.5;19.07;9.3;10.6
Yumbel;0.05;20.07;9.2;10.3
Alto Biobío;124.83;8.86;7.2;8.4
Temuco;2.5;37.29;11.0;12.9
Carahue;4.98;14.24;8.4;9.6
Cunco;33.84;17.09;9.1;10.3
Curarrehue;42.8;13.94;8.4;9.7
Freire;3.97;16.26;8.8;10.0
Galvarino;67.35;11.65;8.0;9.2
Gorbea;32.87;19.09;9.2;10.4
Lautaro;3.96;20.96;9.3;11.0
Loncoche;33.23;17.5;9.1;10.4
Melipeuco;38.11;17.83;8.9;10.2
Nueva Imperial;4.48;17.98;8.9;10.3
Padre Las Casas;3.89;20.79;9.3;11.0
Perquenco;43.02;15.92;8.8;10.2
Pitrufquén;30.81;21.64;9.5;11.0
Pucón;29.98;29.69;10.2;12.1
Saavedra;55.21;11.14;8.1;9.2
Teodoro Schmidt;43.1;12.5;8.3;9.4
Toltén;42.53;14.89;8.6;9.7
Vilcún;3.6;19.7;9.2;10.7
Villarrica;3.19;26.1;9.9;11.7
