Comuna;Poblacion censada;Nunca asistio;Diferencial;Parvularia;Basica;Media;Superior;Nivel educativo no declarado
Peralillo;12.493;519.0;46.0;545.0;4.206;4.737;2.419;21.0
Placilla;9.438;354.0;34.0;436.0;3.463;3.487;1.628;36.0
Pumanque;4.559;239.0;12.0;143.0;1.855;1.489;818;3.0
Santa Cruz;41.209;1.504;190.0;1.934;12.039;15.663;9.790;89.0
Talca;232.131;6.735;1.305;10.886;51.714;82.917;77.348;1.226
Constitución;47.004;1.791;295.0;2.328;14.622;18.744;8.865;359.0
Curepto;9.519;438.0;35.0;319.0;4.135;3.102;1.485;5.0
Empedrado;3.990;270.0;9.0;190.0;1.641;1.342;536;2.0
Maule;61.081;1.909;309.0;3.67;16.449;22.294;16.160;290.0
Pelarco;9.229;479.0;36.0;390.0;3.359;3.391;1.503;71.0
Pencahue;9.181;521.0;25.0;390.0;3.373;3.133;1.736;3.0
Río Claro;14.276;814.0;78.0;570.0;5.817;5.047;1.895;55.0
San Clemente;47.380;2.338;243.0;2.164;17.637;17.240;7.551;207.0
San Rafael;11.230;536.0;45.0;494.0;4.100;4.066;1.961;28.0
Cauquenes;42.798;1.893;238.0;1.889;14.436;15.530;8.723;89.0
Chanco;9.446;491.0;19.0;352.0;4.242;2.933;1.408;1.0
Pelluhue;8.578;401.0;37.0;357.0;3.042;2.782;1.920;39.0
Curicó;159.968;4.737;798.0;8.14;43.007;58.355;44.356;575.0
Hualañé;10.775;508.0;49.0;470.0;4.030;3.597;2.075;46.0
Licantén;6.892;225.0;27.0;323.0;2.343;2.481;1.484;9.0
Molina;48.949;1.836;291.0;2.381;15.744;19.312;9.172;213.0
Rauco;11.266;481.0;45.0;556.0;4.205;4.034;1.925;20.0
Romeral;17.233;735.0;71.0;837.0;6.099;6.073;3.386;32.0
Sagrada Familia;19.427;800.0;112.0;938.0;7.644;6.926;2.954;53.0
Teno;30.113;1.455;135.0;1.304;11.469;11.083;4.619;48.0
Vichuquén;4.716;175.0;9.0;181.0;1.865;1.493;979;14.0
Linares;96.744;2.743;503.0;4.675;28.031;35.823;24.563;406.0
Colbún;22.637;780.0;107.0;1.041;8.533;8.186;3.879;111.0
Longaví;33.299;1.646;120.0;1.378;13.958;11.758;4.355;84.0
Parral;45.323;1.96;273.0;2.029;15.563;16.066;9.362;70.0
Retiro;22.310;1.016;102.0;926.0;9.320;8.037;2.867;42.0
San Javier;49.559;2.014;381.0;2.279;16.734;18.361;9.559;231.0
Villa Alegre;17.919;605.0;88.0;930.0;6.655;6.440;3.111;90.0
Yerbas Buenas;20.035;932.0;89.0;838.0;8.390;6.982;2.746;58.0
Chillán;190.382;5.183;1.175;8.769;44.228;67.752;62.416;859.0
Bulnes;23.863;885.0;113.0;1.051;8.174;8.938;4.647;55.0
Chillán Viejo;32.688;957.0;212.0;1.517;8.418;13.300;8.171;113.0
El Carmen;13.186;629.0;46.0;510.0;5.531;4.474;1.986;10.0
Pemuco;8.930;415.0;22.0;384.0;3.458;3.276;1.348;27.0
Pinto;12.502;456.0;58.0;496.0;4.320;4.650;2.469;53.0
Quillón;19.165;771.0;55.0;734.0;6.688;7.152;3.668;97.0
San Ignacio;17.405;712.0;54.0;644.0;7.113;6.219;2.616;47.0
Yungay;18.680;625.0;70.0;787.0;6.074;7.424;3.641;59.0
Quirihue;11.746;458.0;34.0;489.0;4.404;3.979;2.374;8.0
Cobquecura;5.495;278.0;26.0;275.0;2.187;1.590;1.134;5.0
Coelemu;15.895;687.0;50.0;591.0;5.683;5.591;3.254;39.0
Ninhue;5.763;280.0;12.0;194.0;2.642;1.749;884;2.0
Portezuelo;5.203;207.0;13.0;192.0;2.338;1.610;840;3.0
Ránquil;6.508;254.0;15.0;245.0;2.573;2.265;1.144;12.0
Trehuaco;6.124;239.0;18.0;263.0;2.550;2.032;1.016;6.0
San Carlos;55.847;2.488;326.0;2.366;18.500;21.031;10.938;198.0
Coihueco;29.766;1.459;128.0;1.469;11.725;9.783;5.061;141.0
Ñiquén;12.797;634.0;63.0;424.0;5.656;4.441;1.549;30.0
San Fabián;5.245;371.0;16.0;222.0;1.653;1.871;1.106;6.0
San Nicolás;15.099;663.0;58.0;615.0;5.561;5.455;2.681;66.0
Concepción;230.375;4.688;1.141;8.376;38.611;69.040;107.730;789.0
Coronel;123.648;3.958;748.0;5.985;31.940;48.057;32.760;200.0
Chiguayante;85.822;2.01;467.0;3.61;17.525;29.206;32.760;244.0
Florida;12.958;584.0;44.0;515.0;4.701;4.171;2.923;20.0
Hualqui;25.795;1.006;221.0;1.087;7.970;9.611;5.812;88.0
Lota;39.980;1.251;298.0;1.654;12.040;16.002;8.677;58.0
Penco;48.971;1.374;285.0;2.2;12.410;18.939;13.698;65.0
San Pedro de La paz;150.992;4.192;931.0;7.705;32.697;45.225;59.659;583.0
Santa Juana;14.947;693.0;82.0;642.0;5.456;4.881;3.169;24.0
Talcahuano;147.322;3.857;931.0;5.888;30.289;53.519;52.505;333.0
Tomé;56.907;1.67;289.0;2.118;15.062;21.791;15.903;74.0
Hualpén;87.731;1.914;625.0;3.295;17.772;32.853;31.056;216.0
Lebu;25.246;973.0;163.0;1.092;8.885;9.218;4.890;25.0
Arauco;37.163;1.461;185.0;2.006;11.907;12.815;8.740;49.0
Cañete;34.640;1.779;154.0;1.453;12.476;11.954;6.783;41.0
Contulmo;5.905;324.0;19.0;193.0;2.285;1.992;1.082;10.0
Curanilahue;31.119;1.47;171.0;1.434;9.861;11.665;6.488;30.0
Los Álamos;21.950;1.037;114.0;1.034;7.881;8.118;3.734;32.0
Tirúa;10.208;679.0;22.0;417.0;4.373;3.077;1.633;7.0
Los Ángeles;219.441;7.824;1.345;10.166;58.457;81.470;59.420;759.0
Antuco;4.373;159.0;12.0;151.0;1.494;1.668;866;23.0
Cabrero;31.256;1.485;95.0;1.258;10.072;12.096;6.231;19.0
Laja;23.706;1.133;165.0;1.062;7.282;8.757;5.269;38.0
Mulchén;29.036;1.353;162.0;1.233;10.403;11.298;4.556;31.0
Nacimiento;26.140;1.245;152.0;1.208;7.959;9.763;5.781;32.0
Negrete;10.723;545.0;45.0;468.0;3.885;4.007;1.756;17.0
Quilaco;4.440;193.0;15.0;179.0;1.676;1.709;657;11.0
Quilleco;9.700;440.0;34.0;370.0;3.447;3.883;1.510;16.0
San Rosendo;3.575;111.0;22.0;120.0;1.099;1.392;827;4.0
Santa Bárbara;14.075;677.0;47.0;633.0;4.888;5.236;2.568;26.0
Tucapel;15.729;464.0;83.0;714.0;5.241;6.187;3.000;40.0
Yumbel;23.170;1.1;77.0;781.0;7.853;8.677;4.650;32.0
Alto Biobío;6.016;751.0;36.0;214.0;2.498;1.984;533;0.0
Temuco;292.518;7.302;1.334;13.465;59.458;99.792;109.081;2.086
Carahue;24.957;1.243;118.0;1.088;9.850;8.973;3.555;130.0
Cunco;19.177;649.0;45.0;815.0;6.712;7.575;3.277;104.0
Curarrehue;7.733;331.0;13.0;372.0;3.205;2.711;1.078;23.0
Freire;26.164;1.039;123.0;1.066;10.148;9.401;4.255;132.0
Galvarino;12.710;856.0;53.0;542.0;5.139;4.617;1.481;22.0
Gorbea;14.148;465.0;58.0;580.0;4.734;5.572;2.701;38.0
Lautaro;41.936;1.661;182.0;1.983;12.805;16.317;8.791;197.0
Loncoche;25.158;836.0;146.0;1.112;8.607;9.900;4.402;155.0
Melipeuco;6.796;259.0;8.0;294.0;2.586;2.411;1.212;26.0
Nueva Imperial;33.988;1.521;172.0;1.673;11.313;13.066;6.111;132.0
Padre Las Casas;80.656;3.134;336.0;3.864;24.585;31.724;16.771;242.0
Perquenco;7.438;320.0;24.0;296.0;2.661;2.932;1.184;21.0
Pitrufquén;27.041;833.0;104.0;1.276;8.342;10.436;5.853;197.0
Pucón;32.321;969.0;97.0;1.513;8.348;11.528;9.597;269.0
Saavedra;12.877;711.0;34.0;480.0;5.492;4.670;1.435;55.0
Teodoro Schmidt;15.639;674.0;50.0;578.0;6.825;5.531;1.955;26.0
Toltén;10.041;427.0;28.0;372.0;4.146;3.568;1.495;5.0
Vilcún;31.575;1.137;142.0;1.487;10.575;11.928;6.221;85.0
Villarrica;67.737;2.158;249.0;3.335;18.715;25.158;17.681;441.0
Cholchol;13.167;717.0;41.0;621.0;5.048;4.757;1.935;48.0
Angol;53.022;1.86;276.0;2.654;14.914;20.558;12.465;295.0
