Comuna;% nunca;% profe
San Pedro de La paz;2.78;39.51
Santa Juana;46.36;21.2
Talcahuano;2.62;35.64
Tomé;0.29;27.95
Hualpén;2.18;35.4
Lebu;38.54;19.37
Arauco;3.93;23.52
Cañete;5.14;19.58
Contulmo;54.87;18.32
Curanilahue;0.47;20.85
Los Álamos;4.72;17.01
Tirúa;66.52;16.0
Los Ángeles;3.57;27.08
Antuco;36.36;19.8
Cabrero;4.75;19.94
Laja;4.78;22.23
Mulchén;4.66;15.69
Nacimiento;4.76;22.12
Negrete;50.83;16.38
Quilaco;43.47;14.8
Quilleco;45.36;15.57
San Rosendo;31.05;23.13
Santa Bárbara;48.1;18.25
Tucapel;29.5;19.07
Yumbel;0.05;20.07
Alto Biobío;124.83;8.86
Temuco;2.5;37.29
Carahue;4.98;14.24
Cunco;33.84;17.09
Curarrehue;42.8;13.94
Freire;3.97;16.26
Galvarino;67.35;11.65
Gorbea;32.87;19.09
Lautaro;3.96;20.96
Loncoche;33.23;17.5
Melipeuco;38.11;17.83
Nueva Imperial;4.48;17.98
Padre Las Casas;3.89;20.79
Perquenco;43.02;15.92
Pitrufquén;30.81;21.64
Pucón;29.98;29.69
Saavedra;55.21;11.14
Teodoro Schmidt;43.1;12.5
Toltén;42.53;14.89
Vilcún;3.6;19.7
Villarrica;3.19;26.1
Cholchol;54.45;14.7
Angol;0.35;23.51
Collipulli;4.79;14.06
Curacautín;34.15;20.01
Ercilla;59.12;12.83
Lonquimay;64.02;14.36
Los Sauces;57.29;13.94
Lumaco;73.71;10.16
Purén;42.1;15.98
Renaico;42.3;16.41
Traiguén;45.57;17.76
Victoria;3.64;21.54
Valdivia;2.05;35.96
Corral;36.54;16.02
Lanco;34.01;19.53
Los Lagos;43.77;16.54
Máfil;35.79;20.52
Mariquina;35.48;17.6
Paillaco;40.5;18.6
Panguipulli;0.49;17.87
La Unión;3.29;23.43
Futrono;43.04;16.69
Lago Ranco;48.83;16.28
Río Bueno;3.65;19.96
Puerto Montt;2.71;29.83
Calbuco;4.02;15.7
Cochamó;43.11;17.05
Fresia;46.27;14.66
Frutillar;34.72;23.83
Los Muermos;42.77;14.79
Llanquihue;34.39;23.53
Maullín;35.65;13.56
Puerto Varas;2.7;38.0
Castro;2.54;25.26
Ancud;2.71;21.09
Chonchi;31.78;18.94
Curaco de Vélez;34.13;18.05
Dalcahue;31.02;15.83
Puqueldón;25.44;13.27
Queilén;37.08;15.27
Quellón;0.44;14.31
Quemchi;29.85;13.16
Quinchao;28.0;18.03
Osorno;2.79;29.09
Puerto Octay;37.11;16.81
Purranque;34.44;19.18
Puyehue;43.12;17.2
Río Negro;34.53;18.95
San Juan de la Costa;59.16;9.43
San Pablo;36.02;18.4
Chaitén;46.46;20.65
Futaleufú;41.48;27.2
Hualaihué;35.86;16.31
Palena;40.46;22.23
Coyhaique;2.72;31.17
Lago Verde;74.45;16.3
Aysén;29.09;23.93
Cisnes;28.62;22.7
Guaitecas;33.17;17.71
Cochrane;45.98;27.47
O'Higgins;46.37;26.74
Tortel;53.47;27.52
Chile Chico;30.78;25.81
Río Ibáñez;45.91;23.5
Punta Arenas;1.64;33.79
Laguna Blanca;26.02;28.25
Río Verde;58.82;23.53
San Gregorio;37.34;24.9
Cabo de Hornos;10.86;41.26
Antártica;0.0;90.0
Porvenir;19.97;25.98
Primavera;18.56;18.79
Timaukel;38.22;38.85
Natales;20.91;27.76
Torres del Paine;29.56;37.44
