Codigo region;Region;Codigo provincia;Provincia;Codigo comuna;Comuna;Sexo;Anos de escolaridad promedio;Anos de escolaridad promedio para la poblacion de 18 anos o mas
3;Atacama;33;Huasco;3301;Vallenar;Total Comuna;9,7;11,4
3;Atacama;33;Huasco;3301;Vallenar;Hombre;9,6;11,4
3;Atacama;33;Huasco;3301;Vallenar;Mujer;9,8;11,4
3;Atacama;33;Huasco;3302;Alto del Carmen;Total Comuna;8,6;9,7
3;Atacama;33;Huasco;3302;Alto del Carmen;Hombre;8,4;9,5
3;Atacama;33;Huasco;3302;Alto del Carmen;Mujer;8,9;10,0
3;Atacama;33;Huasco;3303;Freirina;Total Comuna;9,0;10,5
3;Atacama;33;Huasco;3303;Freirina;Hombre;8,9;10,4
3;Atacama;33;Huasco;3303;Freirina;Mujer;9,2;10,6
3;Atacama;33;Huasco;3304;Huasco;Total Comuna;9,7;11,3
3;Atacama;33;Huasco;3304;Huasco;Hombre;9,7;11,3
3;Atacama;33;Huasco;3304;Huasco;Mujer;9,8;11,4
4;Coquimbo;41;Elqui;4101;La Serena;Total Comuna;10,9;12,8
4;Coquimbo;41;Elqui;4101;La Serena;Hombre;10,8;12,9
4;Coquimbo;41;Elqui;4101;La Serena;Mujer;11,0;12,8
4;Coquimbo;41;Elqui;4102;Coquimbo;Total Comuna;10,4;12,3
4;Coquimbo;41;Elqui;4102;Coquimbo;Hombre;10,2;12,3
4;Coquimbo;41;Elqui;4102;Coquimbo;Mujer;10,5;12,3
4;Coquimbo;41;Elqui;4103;Andacollo;Total Comuna;9,3;10,6
4;Coquimbo;41;Elqui;4103;Andacollo;Hombre;9,1;10,5
4;Coquimbo;41;Elqui;4103;Andacollo;Mujer;9,4;10,8
4;Coquimbo;41;Elqui;4104;La Higuera;Total Comuna;8,3;9,4
4;Coquimbo;41;Elqui;4104;La Higuera;Hombre;8,0;9,1
4;Coquimbo;41;Elqui;4104;La Higuera;Mujer;8,6;9,7
4;Coquimbo;41;Elqui;4105;Paiguano;Total Comuna;9,8;11,2
4;Coquimbo;41;Elqui;4105;Paiguano;Hombre;9,6;10,9
4;Coquimbo;41;Elqui;4105;Paiguano;Mujer;10,1;11,5
4;Coquimbo;41;Elqui;4106;Vicuña;Total Comuna;9,5;11,0
4;Coquimbo;41;Elqui;4106;Vicuña;Hombre;9,3;10,8
4;Coquimbo;41;Elqui;4106;Vicuña;Mujer;9,7;11,1
4;Coquimbo;42;Choapa;4201;Illapel;Total Comuna;9,4;10,8
4;Coquimbo;42;Choapa;4201;Illapel;Hombre;9,2;10,8
4;Coquimbo;42;Choapa;4201;Illapel;Mujer;9,5;10,9
4;Coquimbo;42;Choapa;4202;Canela;Total Comuna;8,2;9,0
4;Coquimbo;42;Choapa;4202;Canela;Hombre;8,2;9,1
4;Coquimbo;42;Choapa;4202;Canela;Mujer;8,2;9,0
4;Coquimbo;42;Choapa;4203;Los Vilos;Total Comuna;9,4;11,0
4;Coquimbo;42;Choapa;4203;Los Vilos;Hombre;9,2;10,9
4;Coquimbo;42;Choapa;4203;Los Vilos;Mujer;9,5;11,1
4;Coquimbo;42;Choapa;4204;Salamanca;Total Comuna;9,2;10,7
4;Coquimbo;42;Choapa;4204;Salamanca;Hombre;9,1;10,5
4;Coquimbo;42;Choapa;4204;Salamanca;Mujer;9,3;10,8
4;Coquimbo;43;Limarí;4301;Ovalle;Total Comuna;9,6;11,2
4;Coquimbo;43;Limarí;4301;Ovalle;Hombre;9,4;11,1
4;Coquimbo;43;Limarí;4301;Ovalle;Mujer;9,7;11,2
4;Coquimbo;43;Limarí;4302;Combarbalá;Total Comuna;8,7;9,7
4;Coquimbo;43;Limarí;4302;Combarbalá;Hombre;8,7;9,7
4;Coquimbo;43;Limarí;4302;Combarbalá;Mujer;8,8;9,7
4;Coquimbo;43;Limarí;4303;Monte Patria;Total Comuna;8,4;9,6
4;Coquimbo;43;Limarí;4303;Monte Patria;Hombre;8,3;9,4
4;Coquimbo;43;Limarí;4303;Monte Patria;Mujer;8,6;9,8
4;Coquimbo;43;Limarí;4304;Punitaqui;Total Comuna;8,6;9,9
4;Coquimbo;43;Limarí;4304;Punitaqui;Hombre;8,4;9,8
4;Coquimbo;43;Limarí;4304;Punitaqui;Mujer;8,8;10,0
4;Coquimbo;43;Limarí;4305;Río Hurtado;Total Comuna;8,4;9,2
4;Coquimbo;43;Limarí;4305;Río Hurtado;Hombre;8,4;9,2
4;Coquimbo;43;Limarí;4305;Río Hurtado;Mujer;8,4;9,3
5;Valparaíso;51;Valparaíso;5101;Valparaíso;Total Comuna;10,9;12,5
5;Valparaíso;51;Valparaíso;5101;Valparaíso;Hombre;10,9;12,6
5;Valparaíso;51;Valparaíso;5101;Valparaíso;Mujer;11,0;12,5
5;Valparaíso;51;Valparaíso;5102;Casablanca;Total Comuna;9,9;11,6
5;Valparaíso;51;Valparaíso;5102;Casablanca;Hombre;9,8;11,5
5;Valparaíso;51;Valparaíso;5102;Casablanca;Mujer;10,1;11,7
5;Valparaíso;51;Valparaíso;5103;Concón;Total Comuna;12,0;14,0
5;Valparaíso;51;Valparaíso;5103;Concón;Hombre;12,0;14,1
5;Valparaíso;51;Valparaíso;5103;Concón;Mujer;11,9;13,8
5;Valparaíso;51;Valparaíso;5104;Juan Fernández;Total Comuna;10,3;12,5
5;Valparaíso;51;Valparaíso;5104;Juan Fernández;Hombre;10,4;12,3
5;Valparaíso;51;Valparaíso;5104;Juan Fernández;Mujer;10,3;12,8
5;Valparaíso;51;Valparaíso;5105;Puchuncaví;Total Comuna;10,0;11,6
5;Valparaíso;51;Valparaíso;5105;Puchuncaví;Hombre;9,9;11,6
5;Valparaíso;51;Valparaíso;5105;Puchuncaví;Mujer;10,1;11,7
5;Valparaíso;51;Valparaíso;5107;Quintero;Total Comuna;10,1;11,8
5;Valparaíso;51;Valparaíso;5107;Quintero;Hombre;10,0;11,9
5;Valparaíso;51;Valparaíso;5107;Quintero;Mujer;10,1;11,8
5;Valparaíso;51;Valparaíso;5109;Viña del Mar;Total Comuna;11,5;13,2
5;Valparaíso;51;Valparaíso;5109;Viña del Mar;Hombre;11,5;13,3
5;Valparaíso;51;Valparaíso;5109;Viña del Mar;Mujer;11,5;13,0
5;Valparaíso;52;Isla de Pascua;5201;Isla de Pascua;Total Comuna;10,5;12,8
5;Valparaíso;52;Isla de Pascua;5201;Isla de Pascua;Hombre;10,0;12,3
5;Valparaíso;52;Isla de Pascua;5201;Isla de Pascua;Mujer;11,0;13,3
5;Valparaíso;53;Los Andes;5301;Los Andes;Total Comuna;10,5;12,3
5;Valparaíso;53;Los Andes;5301;Los Andes;Hombre;10,5;12,4
5;Valparaíso;53;Los Andes;5301;Los Andes;Mujer;10,5;12,2
5;Valparaíso;53;Los Andes;5302;Calle Larga;Total Comuna;9,9;11,8
5;Valparaíso;53;Los Andes;5302;Calle Larga;Hombre;9,7;11,7
5;Valparaíso;53;Los Andes;5302;Calle Larga;Mujer;10,0;11,9
5;Valparaíso;53;Los Andes;5303;Rinconada;Total Comuna;9,9;11,8
5;Valparaíso;53;Los Andes;5303;Rinconada;Hombre;9,7;11,7
