Comuna;5-14+;15-64+;65+
Los Ángeles;5.365;2.582;3.070
Antuco;86;55;75
Cabrero;680;532;775
Laja;544;455;636
Mulchén;644;617;687
Nacimiento;576;402;667
Negrete;223;208;317
Quilaco;89;83;120
Quilleco;205;148;278
San Rosendo;66;58;83
Santa Bárbara;320;252;369
Tucapel;363;239;286
Yumbel;437;505;684
Alto Biobío;174;347;276
Temuco;6.030;2.110;1.891
Carahue;571;585;626
Cunco;422;239;368
Curarrehue;196;135;179
Freire;559;484;596
Galvarino;256;338;493
Gorbea;311;221;238
Lautaro;1.005;608;710
Loncoche;578;363;423
Melipeuco;169;106;164
Nueva Imperial;764;580;804
Padre Las Casas;2.022;1.132;1.190
Perquenco;155;115;166
Pitrufquén;645;347;400
Pucón;827;218;230
Saavedra;306;329;390
Teodoro Schmidt;327;285;402
Toltén;227;197;242
Vilcún;766;474;547
Villarrica;1.694;551;579
Cholchol;371;311;421
Angol;1.201;813;970
Collipulli;549;513;610
Curacautín;418;249;342
Ercilla;200;208;257
Lonquimay;225;172;332
Los Sauces;181;208;266
Lumaco;224;322;398
Purén;292;310;324
Renaico;227;254;246
Traiguén;435;392;504
Victoria;802;493;585
Valdivia;3.401;1.283;1.104
Corral;122;79;97
Lanco;389;196;262
Los Lagos;533;371;450
Máfil;197;99;137
Mariquina;561;311;348
Paillaco;430;321;419
Panguipulli;849;650;824
La Unión;789;524;636
Futrono;420;275;306
Lago Ranco;265;220;203
Río Bueno;668;523;605
Puerto Montt;6.217;2.466;2.238
Calbuco;779;701;867
Cochamó;80;77;70
Fresia;283;291;257
Frutillar;495;272;262
Los Muermos;338;313;341
Llanquihue;414;231;294
Maullín;293;318;267
Puerto Varas;1.222;420;359
Castro;965;445;409
Ancud;813;548;538
Chonchi;315;229;240
Curaco de Vélez;52;48;69
Dalcahue;282;171;203
Puqueldón;63;51;74
Queilén;102;111;122
Quellón;682;477;406
Quemchi;151;172;195
Quinchao;121;160;191
Osorno;3.376;1.819;1.656
Puerto Octay;162;151;159
Purranque;392;276;339
Puyehue;251;170;233
Río Negro;272;256;253
San Juan de la Costa;138;213;284
San Pablo;233;190;223
Chaitén;86;64;71
Futaleufú;77;18;36
Hualaihué;221;198;193
Palena;31;16;33
Coyhaique;1.333;476;647
Lago Verde;15;14;26
Aysén;497;258;299
Cisnes;132;51;79
Guaitecas;22;26;24
Cochrane;86;31;67
O'Higgins;13;6;5
Tortel;13;7;6
Chile Chico;112;47;85
Río Ibáñez;55;25;67
Punta Arenas;2.566;619;662
Laguna Blanca;1;1;2
Río Verde;0;6;3
San Gregorio;2;2;2
Cabo de Hornos;65;4;3
Antártica;0;0;0
Porvenir;161;43;38
Primavera;8;3;1
Timaukel;2;0;1
Natales;484;147;204
Torres del Paine;3;2;2
